User ID,Gender,Age,EstimatedSalary,Purchased
15666525,Male,28,19000,1
15620822,Male,27,20000,1
15544197,Female,29,43000,0
15661017,Female,43,57000,1
15550197,Male,21,76000,0
15611097,Male,51,58000,1
15571107,Female,57,84000,1
15538323,Female,56,150000,0
15688366,Male,49,33000,0
15517977,Female,44,65000,0
15573163,Female,19,80000,0
15541061,Female,19,52000,0
15548101,Male,58,86000,1
15695930,Male,22,18000,1
15654984,Male,47,82000,1
15596631,Male,45,80000,1
15567493,Male,23,25000,0
15554996,Male,26,26000,1
15568543,Male,21,28000,1
15576555,Female,38,29000,0
15638761,Male,34,22000,0
15523338,Female,41,49000,1
15527734,Male,57,41000,1
15631860,Female,38,22000,0
15550017,Male,44,23000,0
15653580,Male,23,20000,0
15538273,Male,37,28000,0
15688757,Female,46,30000,0
15618325,Male,24,43000,0
15592412,Male,51,18000,0
15554579,Male,39,74000,1
15514975,Female,53,137000,1
15537707,Female,32,16000,0
15639763,Female,51,44000,0
15672936,Male,44,90000,1
15646100,Male,20,27000,1
15594238,Female,60,28000,1
15621022,Male,22,49000,1
15594267,Female,26,72000,0
15646503,Female,43,31000,0
15518522,Female,56,17000,0
15635400,Female,22,51000,0
15599496,Male,43,108000,0
15528688,Male,59,15000,0
15582911,Female,43,84000,1
15523530,Male,40,20000,1
15549838,Male,42,79000,1
15546148,Female,33,54000,0
15590694,Male,55,135000,1
15636779,Female,34,89000,1
15595082,Female,59,32000,0
15515346,Female,28,44000,1
15535827,Female,48,83000,1
15669636,Female,50,23000,0
15680388,Female,18,58000,0
15665758,Female,43,55000,1
15689243,Female,57,48000,1
15668949,Male,25,79000,1
15674570,Male,45,18000,0
15687647,Female,54,117000,1
15583717,Male,28,20000,1
15654936,Male,28,87000,1
15698090,Female,60,66000,0
15681320,Male,42,120000,1
15637101,Female,23,83000,0
15612074,Male,52,58000,1
15629891,Male,41,19000,1
15506564,Female,35,82000,1
15658897,Female,19,63000,0
15688198,Female,42,68000,0
15695876,Male,36,80000,0
15681438,Female,40,27000,1
15610579,Female,36,23000,0
15500552,Female,30,113000,1
15582382,Male,43,18000,1
15599295,Male,23,112000,0
15585416,Male,44,52000,0
15663741,Female,40,27000,1
15627220,Female,49,87000,0
15516629,Female,30,17000,1
15691391,Male,23,80000,1
15649763,Male,56,42000,0
15638909,Male,22,49000,1
15632220,Male,18,88000,0
15535261,Female,43,62000,1
15693267,Female,38,118000,0
15501462,Male,30,55000,1
15671746,Female,25,85000,1
15506841,Male,18,81000,0
15656542,Male,35,50000,1
15500251,Male,33,81000,1
